stock_key,company_name,sector,industry,exchange,market_cap_group,listing_date,is_vn30
AAA,CTCP Nhựa An Phát Xanh,Materials,Plastics,HOSE,Midcap,2010-07-15,0
AAM,CTCP Thủy sản MeKong,Consumer Staples,Seafood,HOSE,Penny,2009-12-11,0
AAT,CTCP Tiên Sơn Thanh Hóa,Consumer Discretionary,Textiles,HOSE,Penny,2021-03-24,0
AAV,CTCP Việt Tiên Sơn Địa ốc,Real Estate,Real Estate,HNX,Penny,2018-06-21,0
ABR,CTCP Đầu tư Nhãn hiệu Việt,Financials,Financial Services,HOSE,Penny,2020-05-15,0
ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,Materials,Agriculture Chemicals,HOSE,Penny,2020-03-18,0
ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre,Consumer Staples,Seafood,HOSE,Penny,2004-12-28,0
ACB,Ngân hàng TMCP Á Châu,Financials,Banks,HOSE,Bluechip,2006-10-31,1
ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC,Industrials,Construction,HOSE,Penny,2008-01-22,0
ACG,CTCP Gỗ An Cường,Materials,Home Furnishings,HOSE,Midcap,2022-10-10,0
ACL,CTCP Thủy sản Cửu Long An Giang,Consumer Staples,Seafood,HOSE,Penny,2007-09-05,0
ADC,CTCP Ánh Dương Việt Nam,Consumer Discretionary,Travel & Leisure,HOSE,Penny,2008-01-01,0
ADG,CTCP Clever Group,Technology,Marketing Services,HOSE,Penny,2021-02-22,0
ADP,CTCP Sơn Á Đông,Materials,Chemicals,HOSE,Penny,2010-09-15,0
ADS,CTCP Damsan,Consumer Discretionary,Textiles,HOSE,Penny,2015-07-01,0
AFX,CTCP XNK Nông sản Thực phẩm An Giang,Consumer Staples,Agriculture,UPCOM,Penny,2020-12-01,0
AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,Real Estate,Real Estate,HOSE,Midcap,2020-01-09,0
AGR,CTCP Chứng khoán Agribank,Financials,Securities,HOSE,Midcap,2009-12-10,0
ALT,CTCP Văn hóa Tân Bình,Industrials,Printing,HNX,Penny,2002-01-01,0
