"","","","","Khớp lệnh","","","","","","ĐTNN","",""
"CK","Trần","Sàn","TC","Giá","Tổng KL","Tổng GT","Cao","Thấp","Mở cửa","NN mua","NN bán","Room"
"ACB","23450","20450","21950","22750","12170700","272646415000","22750","21900","21950","1242000","636890","355015881"
"BID","38350","33350","35850","36900","4542300","165562240000","36950","35800","36050","410400","504700","907550958"
"BSR","28850","25150","27000","26850","8854800","238500435000","27200","26700","27200","58500","2356800","2393973987"
"CTG","33550","29250","31400","32150","6428200","204667400000","32250","31200","31400","360607","1042800","409319621"
"FPT","74600","65000","69800","72000","7035800","500715080000","72000","69500","69900","1062335","932800","370007112"
"GAS","89300","77700","83500","83500","1360800","112618040000","83800","82000","83800","272400","443611","1132251707"
"GVR","33650","29250","31450","32100","2200000","70191970000","32250","31200","31250","134300","386500","495419095"
"HDB","28700","25000","26850","27300","13429400","361905045000","27300","26550","26900","1372900","900800","267375315"
"HPG","22600","19700","21150","21700","25138400","539379775000","21750","21050","21150","1921281","3288324","2305848014"
"LPB","53500","46500","50000","50000","3868700","192463070000","50500","48500","49800","654300","775800","104509863"
"MBB","21700","18900","20300","20850","15698000","321882965000","20850","20100","20300","485557","1169411","84418426"
"MCH","147600","128400","138000","139500","463900","64373620000","140000","136700","137200","43119","19800","1103970839"
"MSN","72800","63400","68100","69800","7435200","515379650000","70200","67900","68200","1730630","1001800","1163724496"
"MWG","77700","67700","72700","75000","4995900","369258620000","75100","71800","72500","5731179","5732779",""
"SAB","50000","43550","46800","46800","646200","30198015000","47000","46400","47000","83045","156300","527589615"
"SHB","12400","10800","11600","11900","69615500","818672845000","11950","11500","11550","12159639","349600","1405600928"
"SSB","16150","14050","15100","15300","2242100","33772445000","15300","14850","15000","285300","452000","1020749504"
"SSI","20750","18050","19400","20750","38706800","785584135000","20750","19650","19700","6093099","2621541","1743251982"
"STB","79700","69300","74500","74700","1953800","146181640000","75400","74100","74600","117300","353500","358422790"
"TCB","33150","28850","31000","31650","9772000","305917035000","31700","30750","30800","411675","417600","142110193"
"TCX","42250","36750","39500","41000","3648900","148582080000","41300","39300","39300","1234400","1505100","2521757855"
"VCB","61800","53800","57800","59100","4695200","274626870000","59100","57500","57800","527101","1841300","826364639"
"VHM","74300","64700","69500","71700","5100800","361032130000","71900","68900","69500","514171","463228","1783931910"
"VIB","15400","13400","14400","14750","4765300","69481175000","14800","14350","14400","647000","130100","58324619"
"VIC","216100","187900","202000","205000","3196900","650812870000","205700","199900","201400","462536","598445","3483075298"
"VJC","132000","114800","123400","124500","1367400","168528280000","125000","122100","123000","48800","83400","183988692"
"VNM","68400","59600","64000","63800","3581800","228382150000","64100","63400","64100","1027463","973717","1049254017"
"VPB","26600","23200","24900","25700","13914800","352440800000","25700","24750","24900","1538500","3665900","566054152"
"VPL","80200","69800","75000","76900","563900","42352590000","76900","74000","74400","40700","25400","800800391"
"VRE","25800","22500","24150","25300","6035600","149791330000","25300","23900","24000","1204500","587100","881975429"
Giá x 1 VNĐ. Khối lượng x 1. Giá trị x 1000000 VNĐ. Bản quyền thuộc về Công ty Cổ phần Chứng khoán SSI © 2019.
